CODE,NAME,LATITUDE,LONGITUDE
KPK,KILBURN PARK,51.53513556,-0.193951642
KTN,KENTISH TOWN,51.55000954,-0.140456844
KXX,KINGS CROSS ST. PANCRAS,51.53031248,-0.123857716
LAM,LAMBETH NORTH,51.49912996,-0.111753857
LAN,LANCASTER GATE,51.51189096,-0.17541552
LBG,LADBROKE GROVE,51.5172107,-0.210183763
LEY,LEYTON,51.55813227,-0.006450909
LON,LONDON BRIDGE,51.50467436,-0.085991192
LSQ,LEICESTER SQUARE,51.5112912,-0.12822774
LST,LIVERPOOL STREET,51.51759827,-0.082235212
LTN,LOUGHTON,51.64157047,0.055293528
LTR,LATIMER ROAD,51.51395812,-0.217445257
LYS,LEYTONSTONE,51.56852229,0.009154878
MAN,MANSION HOUSE,51.51209176,-0.09418325
MAR,MARBLE ARCH,51.51396551,-0.158556807
MCR,MORNINGTON CRESCENT,51.53436223,-0.138729935
MDV,MAIDA VALE,51.52999508,-0.185418233
MGT,MOORGATE,51.51843715,-0.089003278
MHE,MILL HILL EAST,51.60831667,-0.209881274
MLE,MILE END,51.52531097,-0.032651672
MNR,MANOR HOUSE,51.57074715,-0.09567055
MON,MONUMENT,51.51063043,-0.086173906
MOR,MORDEN,51.40218598,-0.194837608
MPK,MOOR PARK,51.62993072,-0.432898582
MYB,MARYLEBONE,51.52239669,-0.163478152
NAC,NORTH ACTON,51.52343246,-0.259715116
NEA,NEASDEN,51.55462775,-0.250100624
NEL,NORTH EALING,51.51762232,-0.288979143
NEP,NEWBURY PARK,51.57563834,0.090317586
NFD,NORTHFIELDS,51.50049171,-0.315050414
NGW,NORTH GREENWICH,51.50025515,0.003600664
NHG,NOTTING HILL GATE,51.50937536,-0.195907211
NHR,NORTH HARROW,51.58463134,-0.362618562
NHT,NORTHOLT,51.54821295,-0.368426176
NWD,NORTHWOOD,51.61121366,-0.423823347
NWH,NORTHWOOD HILLS,51.6008027,-0.409296922
NWM,NORTH WEMBLEY,51.56239633,-0.303933795
NWP,NORTHWICK PARK,51.57850873,-0.318184963
OAK,OAKWOOD,51.64763798,-0.131839089
OLD,OLD STREET,51.52558148,-0.087608545
OLY,KENSINGTON (OLYMPIA),51.49787972,-0.210364839
OST,OSTERLEY,51.48121685,-0.352081698
OVL,OVAL,51.48141261,-0.113306677
OXC,OXFORD CIRCUS,51.51522342,-0.140821762
PAD,PADDINGTON,51.51539381,-0.175722343
PADc,PADDINGTON CIRCLE,51.51539381,-0.175722343
PADs,PADDINGTON H & C,51.51539381,-0.175722343
PER,PERIVALE,51.53634186,-0.323056006
PGR,PARSONS GREEN,51.47496018,-0.201110096
PIC,PICCADILLY CIRCUS,51.50969676,-0.13369719
PIM,PIMLICO,51.48955288,-0.133093857
PIN,PINNER,51.59236172,-0.381209357
PLW,PLAISTOW,51.53128833,0.017795056
PRR,PRESTON ROAD,51.57210376,-0.294957586
PRY,PARK ROYAL,51.52683405,-0.284914505
PUT,PUTNEY BRIDGE,51.46786536,-0.209351023
QBY,QUEENSBURY,51.59388301,-0.286317163
QPK,QUEENS PARK,51.53431268,-0.204783734
QWY,QUEENSWAY,51.51044926,-0.187405495
RCP,RAVENSCOURT PARK,51.49406801,-0.235954831
RED,REDBRIDGE,51.57636691,0.045408473
RKY,RICKMANSWORTH,51.64032307,-0.473670136
RLN,RAYNERS LANE,51.57539678,-0.371046386
RMD,RICHMOND,51.46323292,-0.301724741
ROA,ROYAL OAK,51.51829438,-0.188809263
ROD,RODING VALLEY,51.61695644,0.044040648
RPK,REGENTS PARK,51.52381069,-0.145329999
RSQ,RUSSELL SQUARE,51.52301305,-0.124575786
RUG,RUISLIP GARDENS,51.55996023,-0.409279688
RUI,RUISLIP,51.57216197,-0.421220499
RUM,RUISLIP MANOR,51.57345162,-0.412834927
SBC,SHEPHERDS BUSH,51.50453218,-0.218504754
SBM,SHEPHERDS BUSH MARKET,51.50588074,-0.227386087
SEL,SOUTH EALING,51.50164406,-0.30702584
SFD,STRATFORD,51.54169258,-0.003737223
SFS,SOUTHFIELDS,51.44488334,-0.206594999
SGT,SOUTHGATE,51.63237586,-0.127755601
SHL,SUDBURY HILL,51.5573396,-0.336377693
SHR,SOUTH HARROW,51.56468021,-0.351879546
SJP,ST. JAMES'S PARK,51.49960981,-0.133864351
SJW,ST. JOHNS WOOD,51.53485443,-0.174050425
SKN,SOUTH KENSINGTON,51.49407139,-0.173908621
SKT,SOUTH KENTON,51.57104449,-0.308128551
SNB,SNARESBROOK,51.58089127,0.021478358
SPK,STONEBRIDGE PARK,51.54398659,-0.275386023
SRP,SOUTH RUISLIP,51.55689035,-0.399101488
SSQ,SLOANE SQUARE,51.49235978,-0.156474456
STA,STANMORE,51.61967348,-0.303084851
STB,STAMFORD BROOK,51.49445,-0.245231907
STG,STEPNEY GREEN,51.52199584,-0.047368112
STK,STOCKWELL,51.47215927,-0.122831909
STN,SUDBURY TOWN,51.55139748,-0.316329065
STP,ST. PAULS,51.51483531,-0.097556592
SVS,SEVEN SISTERS,51.58336217,-0.072452392
SWC,SWISS COTTAGE,51.54303487,-0.175612186
SWF,SOUTH WOODFORD,51.59155261,0.027957512
SWK,SOUTHWARK,51.50385363,-0.105780534
SWM,SOUTH WIMBLEDON,51.41536073,-0.191960168
TBE,TOOTING BEC,51.43583808,-0.159686108
TBY,TOOTING BROADWAY,51.42704916,-0.168670146
TCR,TOTTENHAM COURT ROAD,51.51621089,-0.131096029
TEM,TEMPLE,51.51104062,-0.113711342
TGR,TURNHAM GREEN,51.49518197,-0.254510165
THB,THEYDON BOIS,51.67255207,0.102905195
THL,TOWER HILL,51.51039428,-0.076686791
TOT,TOTTERIDGE AND WHETSTONE,51.63024674,-0.179339818
TPK,TUFNELL PARK,51.55644081,-0.137727753
TPL,TURNPIKE LANE,51.59035815,-0.102790608
TTH,TOTTENHAM HALE,51.58799779,-0.06017339
UPB,UPMINSTER BRIDGE,51.55771877,0.234556311
UPK,UPTON PARK,51.5366282,0.034556256
UPM,UPMINSTER,51.55876333,0.251415224
UPY,UPNEY,51.53840563,0.101546161
UXB,UXBRIDGE,51.54645456,-0.477087141
VIC,VICTORIA,51.49642397,-0.143906303
VUX,VAUXHALL,51.48573582,-0.123815553
WAC,WEST ACTON,51.51777018,-0.280642766
WAL,WALTHAMSTOW CENTRAL,51.58301812,-0.019926114
WAN,WANSTEAD,51.57490215,0.0287749
WAR,WARWICK AVENUE,51.52310446,-0.182938881
WAT,WATFORD,51.65760515,-0.417255553
WBP,WESTBOURNE PARK,51.52098887,-0.200868104
WBT,WEST BROMPTON,51.48732894,-0.195524412
WCL,WHITECHAPEL,51.51958779,-0.059406075
WCT,WHITE CITY,51.51223246,-0.224617523
WDN,WIMBLEDON,51.42110787,-0.206648456
WEM,WEMBLEY CENTRAL,51.55186482,-0.296377906
WFD,WOODFORD,51.60720184,0.034070641
WFY,WEST FINCHLEY,51.60926275,-0.188902671
WGN,WOOD GREEN,51.59745374,-0.109512154
WHD,WEST HAMPSTEAD,51.54747436,-0.191112166
WHM,WEST HAM,51.52852552,0.005331807
WHR,WEST HARROW,51.57892428,-0.353832268
WJN,WILLESDEN JUNCTION,51.53223399,-0.243894729
WKN,WEST KENSINGTON,51.49010939,-0.206189293
WLG,WILLESDEN GREEN,51.54937331,-0.222393184
WLO,WATERLOO,51.50314665,-0.113244847
WMP,WIMBLEDON PARK,51.43458098,-0.199171892
WMS,WESTMINSTER,51.50140161,-0.124987674
WPK,WEMBLEY PARK,51.56332249,-0.279228128
WRP,WEST RUISLIP,51.56958792,-0.43784572
WSP,WOODSIDE PARK,51.61786842,-0.185411063
WST,WARREN STREET,51.52458001,-0.138263919
